VS298,VS299,VS300,VS301,VS358
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,5
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
9999999,999999,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
2200,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
1000,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,2
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
0,999999,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,1
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
90,0,999999,0,9
300,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
50,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
200,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
2700,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
40,40,0,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
10,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
0,999999,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
3000,0,999999,0,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9
999999,999999,999999,999999,9

